filename,snr_db
5m.21.m4a,8.52
5m.22.m4a,10.72
5m.23.m4a,10.64
5m.24.m4a,11.16
5m.25.m4a,4.71
5m.26.m4a,6.27
5m.27.m4a,6.11
5m.28.m4a,10.06
5m.29.m4a,4.94
5m.30.m4a,6.3
5m.31.m4a,5.58
5m.32.m4a,3.54
5m.33.m4a,4.11
5m.34.m4a,2.71
5m.35.m4a,3.48
5m.36.m4a,8.36
5m.37.m4a,5.19
5m.38.m4a,4.17
5m.39.m4a,2.47
5m.40.m4a,2.1
5m.41.m4a,2.78
5m.42.m4a,4.64
5m.43.m4a,4
5m.44.m4a,3.26
5m.45.m4a,3.07
5m.46.m4a,7.35
5m.47.m4a,6.4
5m.48.m4a,3.84
5m.49.m4a,4.52
5m.50.m4a,3.66
5m.51.m4a,3.29
5m.52.m4a,7.67
5m.53.m4a,13.87
5m.54.m4a,17.28
5m.55.m4a,10.59
5m.56.m4a,7.17
5m.57.m4a,6.26
5m.58.m4a,5.56
5m.59.m4a,5.67
DgDAM50rM_U_S0---0000.000-0013.510__5m.m4a,0.45
DgDAM50rM_U_S102---0074.230-0084.080__5m.m4a,-0.45
DgDAM50rM_U_S102---0104.530-0113.750__5m.m4a,-0.24
DgDAM50rM_U_S102---0113.750-0132.910__5m.m4a,-0.59
DgDAM50rM_U_S102---0132.910-0143.720__5m.m4a,-0.16
DgDAM50rM_U_S102---0143.720-0151.180__5m.m4a,-0.31
DgDAM50rM_U_S102---0151.180-0159.260__5m.m4a,-0.47
DgDAM50rM_U_S102---0159.260--0172.160__5m.m4a,-0.76
DgDAM50rM_U_S102---0172.220--0183.780__5m.m4a,-0.52
DgDAM50rM_U_S102---0183.810--0203.350__5m.m4a,-0.48
DgDAM50rM_U_S102---0203.350-0209.970__5m.m4a,0.14
DgDAM50rM_U_S102---0209.970-0214.610__5m.m4a,-0.34
mar_0001_5m.m4a,0.1
mar_0002_5m.m4a,-0.57
mar_0003_5m.m4a,-0.85
mar_0004_5m.m4a,-1.18
mar_0005_5m.m4a,-0.42
mar_0006_5m.m4a,-0.81
mar_0007_5m.m4a,-0.81
mar_0008_5m.m4a,-0.73
mar_0009_5m.m4a,-0.83
mar_0010_5m.m4a,-0.71
mar_10__5m.m4a,-0.48
mar_1__5m.m4a,0.45
mar_2__5m.m4a,-0.45
mar_3__5m.m4a,-0.24
mar_4__5m.m4a,-0.59
mar_5__5m.m4a,-0.16
mar_6__5m.m4a,-0.31
mar_7__5m.m4a,-0.47
mar_8__5m.m4a,-0.76
mar_9__5m.m4a,-0.52
